iter	Passed	Remaining
0	162	162128
1	181	90712
2	197	65655
3	208	51819
4	218	43534
5	227	37762
6	236	33552
7	245	30472
8	254	27994
9	262	26013
10	270	24353
11	279	23048
12	288	21868
13	296	20894
14	305	20044
15	314	19338
16	322	18675
17	331	18066
18	339	17517
19	347	17039
20	356	16614
21	364	16215
22	373	15847
23	381	15524
24	390	15212
25	397	14903
26	407	14687
27	416	14458
28	424	14207
29	432	13981
30	440	13777
31	449	13583
32	457	13402
33	465	13229
34	473	13063
35	484	12962
36	493	12831
37	501	12683
38	509	12554
39	517	12426
40	525	12301
41	534	12181
42	542	12078
43	550	11964
44	558	11859
45	566	11754
46	575	11670
47	584	11583
48	592	11490
49	600	11404
50	608	11325
51	616	11247
52	625	11169
53	632	11086
54	641	11024
55	650	10963
56	658	10897
57	667	10837
58	676	10786
59	685	10732
60	693	10670
61	701	10609
62	709	10554
63	717	10499
64	725	10440
65	733	10384
66	742	10336
67	750	10284
68	758	10231
69	766	10185
70	775	10142
71	783	10101
72	792	10059
73	801	10032
74	810	10000
75	819	9958
76	827	9914
77	835	9880
78	844	9845
79	852	9806
80	861	9773
81	870	9747
82	879	9714
83	887	9676
84	895	9638
85	904	9607
86	913	9584
87	921	9551
88	930	9523
89	939	9497
90	947	9467
91	956	9436
92	964	9407
93	972	9374
94	981	9346
95	989	9314
96	997	9288
97	1006	9266
98	1015	9241
99	1023	9214
100	1032	9193
101	1041	9168
102	1049	9142
103	1058	9118
104	1067	9101
105	1076	9078
106	1084	9051
107	1093	9027
108	1101	9002
109	1109	8978
110	1117	8953
111	1126	8929
112	1134	8903
113	1142	8881
114	1151	8860
115	1159	8839
116	1168	8816
117	1176	8794
118	1185	8774
119	1193	8752
120	1201	8730
121	1210	8711
122	1218	8687
123	1227	8671
124	1235	8649
125	1244	8631
126	1252	8609
127	1261	8593
128	1269	8569
129	1278	8553
130	1286	8530
131	1294	8512
132	1302	8493
133	1311	8476
134	1319	8457
135	1328	8439
136	1336	8421
137	1345	8402
138	1353	8382
139	1361	8363
140	1370	8349
141	1378	8331
142	1387	8313
143	1395	8293
144	1402	8271
145	1411	8254
146	1419	8237
147	1428	8222
148	1436	8204
149	1444	8185
150	1452	8168
151	1460	8150
152	1469	8133
153	1477	8118
154	1485	8100
155	1494	8085
156	1502	8069
157	1511	8052
158	1519	8037
159	1527	8021
160	1536	8005
161	1545	7992
162	1553	7974
163	1561	7959
164	1570	7945
165	1579	7933
166	1588	7921
167	1596	7905
168	1605	7893
169	1613	7878
170	1622	7865
171	1630	7849
172	1639	7836
173	1648	7823
174	1656	7811
175	1665	7795
176	1673	7781
177	1681	7765
